SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)N(CCCCCC(=O)O)c2ccc(S(=O)(=O)O)cc21,AYFNGAVPORGJOD-UHFFFAOYSA-O,2,4,7,0.457142857,28.21648813,16.2495994,13.56638103,9.375244227,6.788099089,14,2,16,717.883,14,779.480227,20.89949723,14,4,536
CN1C(=CC=Cc2[o+]c3ccccc3n2C)Oc2ccccc21,XLKQLIAYDLMVLG-UHFFFAOYSA-N,3,0,3,0.105263158,13.06177673,7.504068437,5.459866281,4.021037654,2.745203872,4,2,2,305.357,12,306.0678397,14.6591075,12,4,521
Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,QMHSXPLYMTVAMK-UHFFFAOYSA-N,4,0,2,0.192307692,17.84719429,9.980716521,7.785525376,5.628142201,3.958328926,3,2,4,382.531,14,178.5212501,12.12650639,15,3,412
CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)Oc2ccccc21,QUZOOPRJWZTRMY-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,343.45,13,451.0464647,14.60792652,13,4,543
CC1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(C)c(S(=O)(=O)Nc2ccccc2)c1,DNNYNDQWWWDTPP-UHFFFAOYSA-M,3,1,9,0.130434783,19.06039421,10.49989094,7.878778443,5.2420149,3.409371354,13,1,7,526.576,17,524.1669209,18.65279047,6,2,1585
Nc1ccc([O-])c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O,SPHQXPPVJCWUGX-UHFFFAOYSA-M,2,4,8,0,11.73066828,6.371395039,5.098777471,3.680964132,2.649752756,10,0,1,349.3,12,246.4193085,11.39393467,7,1,592
CCN1C=CC(=Cc2sc3ccccc3[n+]2CC)c2ccccc21,SFTZBFQWPQDHFP-UHFFFAOYSA-N,3,0,2,0.19047619,14.067742,8.487995943,5.870864937,4.53102427,3.329690658,3,2,3,333.48,12,238.3608345,13.42604877,10,2,591
CC1=C/C(=C(\c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-RGEXLXHISA-K,2,1,8,0.086956522,17.24025036,9.331527882,7.26079855,5.000742013,3.515580678,10,0,5,467.431,18,114.5360135,11.21048139,10,2,429
CCN1C(=Cc2sc3ccccc3[n+]2C)C=Cc2ccccc21,FSOAORRRECZDNM-UHFFFAOYSA-N,3,0,2,0.15,13.36063522,7.915958034,5.672652542,4.332178976,3.130642168,3,2,2,319.453,12,187.3228258,13.86741555,11,2,442
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c(S(=O)(=O)O)c1,CXNNGVUGAQWNGE-UHFFFAOYSA-O,3,2,6,0.21875,24.76002532,13.54498929,10.54977856,7.173806057,4.868169919,11,0,9,622.789,16,412.0404667,19.08097566,10,2,530
Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,GMBNNHLANOGOAU-UHFFFAOYSA-M,2,2,7,0.3,15.02647553,9.160919824,7.223166258,5.434141664,4.081208747,8,0,3,399.448,13,181.9325934,12.94453275,7,1,609
c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc([n-]c4nc(n1)-c1ccccc1-4)-c1ccccc1-3)c1ccccc21,YSZJMRCSMGEWDG-UHFFFAOYSA-N,6,1,6,0,20.86809948,12.93989625,9.728813302,7.395149803,5.524632763,8,5,0,513.544,29,17337.20302,15.5047003,13,0,478
