SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength
CCN1c2ccccc2C=C/C1=C\C=C/c1[n+](CC)c2ccccc2cc1,HQCBCYUEDZNVBO-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.661180965,6.648330515,5.112179042,3.799167551,2,2,4,353.489,14,224.1183797,14.67373253,14,4,634
CCN1c2ccccc2C=C/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1,HUKKJPBJMKANKC-UHFFFAOYSA-N,3,0,1,0.148148148,17.12359533,10.32784763,7.033230694,5.334401264,3.926316169,2,2,5,379.527,15,703.6177306,17.54168309,16,6,655
CCN1c2ccccc2C=C/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2o1,CKDJYLWILGWPSZ-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.49207899,7.009140693,5.192172026,3.76450975,3,2,6,395.526,15,769.0398073,19.45937995,17,8,749
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,OWYFZVWJTBJIIS-UHFFFAOYSA-N,3,0,1,0.137931034,18.27829587,10.99043126,7.431101332,5.575528218,4.012400232,2,2,6,405.565,16,2290.374458,21.23861179,17,8,711
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,NDBQBHOHIWDEGK-UHFFFAOYSA-N,3,0,2,0.137931034,18.68654416,11.15874565,7.394040873,5.414394249,3.89280981,3,2,7,437.632,16,4405.333836,23.5477297,19,10,880
CCN1c2ccccc2C=C/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12,NNPJVUBHKCZPII-UHFFFAOYSA-N,3,0,1,0.148148148,17.12359533,10.32376459,7.046201153,5.353305996,3.884100172,2,2,5,379.527,15,433.6545883,17.57606615,15,6,586
CCN1c2ccccc2C=C/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,OKFVOTSYAZGOPA-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.49207899,7.009140693,5.192172026,3.76450975,3,2,6,411.594,15,308.6421789,17.53088737,17,8,787
CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,ICQLMXQDTPECJU-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.825412319,6.624240514,4.969949804,3.63620969,3,2,5,385.556,14,759.8374883,18.44138751,15,6,618
CCN1c2ccccc2O/C1=C/c1cc[n+](CC)c2ccccc12,FDTNKKIOSYITHD-UHFFFAOYSA-N,3,0,2,0.19047619,14.067742,8.487995943,5.870864937,4.53102427,3.329690658,3,2,3,317.412,12,228.1018353,13.94501213,10,2,604
CCN1c2ccccc2O/C1=C/C=C/c1[n+](CC)c2ccccc2o1,VZUFSMBGWBLOCB-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,333.411,12,312.0662072,15.88288578,12,4,490
CCN1c2ccccc2O/C1=C\c1[n+](CC)c2ccccc2cc1,RCVUTZHFPPLMTK-UHFFFAOYSA-N,3,0,2,0.19047619,14.067742,8.492078986,5.857894479,4.51329821,3.370442324,3,2,3,317.412,12,161.3957192,13.0267547,11,2,500
CCN1c2ccccc2O/C1=C\C=C\c1[n+](CC)c2ccccc2cc1,QUZOOPRJWZTRMY-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,343.45,13,393.6375516,15.67493394,13,4,446
CCN1c2ccccc2O/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2o1,VAGJCLDZLVQVPR-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,359.449,13,1819.50637,17.78520625,14,6,546
CCN1c2ccccc2O/C1=C/C=C/C=C/c1cc[n+](CC)c2ccccc12,QQWIIVKRRBJCBB-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,369.488,14,1171.64988,18.90021943,14,6,598
CCN1c2ccccc2O/C1=C/C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,KKFSTMHKQKXIPU-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,401.555,14,1472.484482,20.72240089,16,8,680
CCN1c2ccccc2O/C1=C\C=C\c1cc[n+](CC)c2ccccc12,COUGSHBDUFTYFC-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,343.45,13,488.3426121,14.8474838,12,4,678
CCN1c2ccccc2O/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,LPLCWEKDGKZACI-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,375.517,13,1475.141151,17.94277396,14,6,573
CCN1c2ccccc2O/C1=C/C=C/c1[n+](CC)c2ccccc2s1,CGMUVVDKGKQWHC-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,349.479,12,514.688406,16.05677189,12,4,605
CCN1c2ccccc2O/C1=C/C=C/c1cc[n+](CC)c2ccccc12,COUGSHBDUFTYFC-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,343.45,13,675.8295745,16.4400458,12,4,508
CCN1c2ccccc2O/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2o1,VAGJCLDZLVQVPR-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,359.449,13,461.8182132,18.14697192,14,6,587
CCN1c2ccccc2O/C1=C/C=C\c1[n+](CC)c2ccccc2cc1,QUZOOPRJWZTRMY-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,343.45,13,377.4624814,14.50478508,13,4,606
CCN1c2ccccc2O/C1=C/C=C\C=C\c1[n+](CC)c2ccccc2cc1,OOAUUXKHPBKQDP-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.825412319,6.624240514,4.969949804,3.63620969,3,2,5,369.488,14,1016.810057,17.20857935,15,6,559
CCN1c2ccccc2O/C1=C/C=C\C=C\C=C\c1[n+](CC)c2ccccc2o1,YFMAIXBXQGUOBW-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,385.487,14,813.334133,19.65238052,16,8,630
CCN1c2ccccc2O/C1=C/C=C/C=C/C=C/c1cc[n+](CC)c2ccccc12,YGOJAHFWSNHIIB-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.48799594,7.022111152,5.211076759,3.722293753,3,2,6,395.526,15,720.0455626,20.58238652,16,8,716
CCN1c2ccccc2O/C1=C/C=C/C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,ZMDVVNPXHYAVFU-UHFFFAOYSA-N,3,0,3,0.148148148,17.94009191,10.65631034,6.985050692,5.049942789,3.60270333,4,2,7,427.593,15,808.590566,22.76297137,18,10,720
CCN1c2ccccc2O/C1=C/C=C\C=C\c1cc[n+](CC)c2ccccc12,QQWIIVKRRBJCBB-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,369.488,14,1145.364141,16.08591529,14,6,683
CCN1c2ccccc2O/C1=C/C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,KKFSTMHKQKXIPU-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,401.555,14,1477.259994,19.63137023,16,8,655
CCN1c2ccccc2O/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,LPLCWEKDGKZACI-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,375.517,13,900.0075318,18.52578052,14,6,724
CCN1c2ccccc2S/C1=C\c1cc[n+](CC)c2ccccc12,SFTZBFQWPQDHFP-UHFFFAOYSA-N,3,0,2,0.19047619,14.067742,8.487995943,5.870864937,4.53102427,3.329690658,3,2,3,333.48,12,247.35545,13.0088646,11,2,605
CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2o1,CGMUVVDKGKQWHC-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,349.479,12,585.6969158,15.91065365,13,4,472
CCN1c2ccccc2S/C1=C/c1[n+](CC)c2ccccc2cc1,UJCNDPYFYMAVSQ-UHFFFAOYSA-N,3,0,2,0.19047619,14.067742,8.492078986,5.857894479,4.51329821,3.370442324,3,2,3,333.48,12,142.3248532,13.83038591,12,2,505
CCN1c2ccccc2S/C1=C/C=C/c1[n+](CC)c2ccccc2cc1,XTSHHMSLNDHACR-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,359.518,13,382.3202999,16.14987994,14,4,487
CCN1c2ccccc2S/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2o1,LPLCWEKDGKZACI-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,375.517,13,987.9028084,18.45664156,15,6,560
CCN1c2ccccc2S/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,LDIURJODNUMFCD-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,385.556,14,808.7723925,17.61886309,15,6,618
CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,UMTQICYFVVKJFV-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,417.623,14,1598.659364,20.44475565,17,8,627
CCN1c2ccccc2S/C1=C/C=C/c1cc[n+](CC)c2ccccc12,DJAQPUXEDANWNL-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,359.518,13,440.5535254,16.55748826,13,4,716
CCN1c2ccccc2S/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,391.585,13,765.5898332,18.66408916,15,6,584
CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2s1,JGLWGLKNDHZFAP-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,365.547,12,338.3403723,15.80045689,13,4,625
CCN1c2ccccc2S/C1=C\C=C\c1cc[n+](CC)c2ccccc12,DJAQPUXEDANWNL-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.15466261,6.252310793,4.766632314,3.466845074,3,2,4,359.518,13,478.7754681,16.41029375,13,4,519
CCN1c2ccccc2S/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2o1,LPLCWEKDGKZACI-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,375.517,13,1539.046994,18.34256534,15,6,565
CCN1c2ccccc2S/C1=C\C=C/c1[n+](CC)c2ccccc2cc1,XTSHHMSLNDHACR-UHFFFAOYSA-N,3,0,2,0.173913043,15.22244254,9.158745653,6.239340334,4.747727582,3.509061071,3,2,4,359.518,13,192.2760718,14.7107037,14,4,605
CCN1c2ccccc2S/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1,ICQLMXQDTPECJU-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.825412319,6.624240514,4.969949804,3.63620969,3,2,5,385.556,14,334.1409869,17.73823442,16,6,536
CCN1c2ccccc2S/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2o1,KKFSTMHKQKXIPU-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,401.555,14,596.8851213,18.34978457,17,8,590
CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,TWHSTEAIMSNAOL-UHFFFAOYSA-N,3,0,2,0.148148148,17.53184362,10.48799594,7.022111152,5.211076759,3.722293753,3,2,6,411.594,15,2041.634457,20.47113263,17,8,681
CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,KBBBKHYFINZFTO-UHFFFAOYSA-N,3,0,3,0.148148148,17.94009191,10.65631034,6.985050692,5.049942789,3.60270333,4,2,7,443.661,15,3670.176886,23.18466236,19,10,631
CCN1c2ccccc2S/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12,LDIURJODNUMFCD-UHFFFAOYSA-N,3,0,2,0.16,16.37714308,9.821329277,6.637210973,4.988854536,3.593993693,3,2,5,385.556,14,371.1149301,18.06340994,15,6,801
CCN1c2ccccc2S/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1,UMTQICYFVVKJFV-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,417.623,14,415.6517676,18.50268615,17,8,614
CCN1c2ccccc2S/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,391.585,13,1412.980761,18.463291,15,6,722
